Names,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Average Stats,Type Combination,Atk-Def Ratio,Rank,Image_URL
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,53,Grass-Poison,1,941,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png
Ivysaur,Grass,Poison,405,60,62,63,80,80,60,67.5,Grass-Poison,0.984126984,750,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png
Venusaur,Grass,Poison,525,80,82,83,100,100,80,87.5,Grass-Poison,0.987951807,265,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png
Mega  Venusaur,Grass,Poison,625,80,100,123,122,120,80,104.1666667,Grass-Poison,0.81300813,62,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png
Charmander,Fire,null,309,39,52,43,60,50,65,51.5,Fire,1.209302326,977,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png
Charmeleon,Fire,null,405,58,64,58,80,65,80,67.5,Fire,1.103448276,750,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png
Charizard,Fire,Flying,534,78,84,78,109,85,100,89,Fire-Flying,1.076923077,228,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png
Mega  Charizard  X,Fire,Dragon,634,78,130,111,130,85,100,105.6666667,Fire-Dragon,1.171171171,56,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png
Mega  Charizard  Y,Fire,Flying,634,78,104,78,159,115,100,105.6666667,Fire-Flying,1.333333333,56,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png
Squirtle,Water,null,314,44,48,65,50,64,43,52.33333333,Water,0.738461538,954,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png
Wartortle,Water,null,405,59,63,80,65,80,58,67.5,Water,0.7875,750,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png
Blastoise,Water,null,530,79,83,100,85,105,78,88.33333333,Water,0.83,235,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png
Mega  Blastoise,Water,null,630,79,103,120,135,115,78,105,Water,0.858333333,58,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png
Caterpie,Bug,null,195,45,30,35,20,20,45,32.5,Bug,0.857142857,1186,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png
Metapod,Bug,null,205,50,20,55,25,25,30,34.16666667,Bug,0.363636364,1176,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png
Butterfree,Bug,Flying,395,60,45,50,90,80,70,65.83333333,Bug-Flying,0.9,785,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png
Weedle,Bug,Poison,195,40,35,30,20,20,50,32.5,Bug-Poison,1.166666667,1186,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png
Kakuna,Bug,Poison,205,45,25,50,25,25,35,34.16666667,Bug-Poison,0.5,1176,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png
Beedrill,Bug,Poison,395,65,90,40,45,80,75,65.83333333,Bug-Poison,2.25,785,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png
Mega  Beedrill,Bug,Poison,495,65,150,40,15,80,145,82.5,Bug-Poison,3.75,408,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png
Pidgey,Normal,Flying,251,40,45,40,35,35,56,41.83333333,Normal-Flying,1.125,1131,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png
Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,58.16666667,Normal-Flying,1.090909091,858,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png
Pidgeot,Normal,Flying,479,83,80,75,70,70,101,79.83333333,Normal-Flying,1.066666667,535,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png
Mega  Pidgeot,Normal,Flying,579,83,80,80,135,80,121,96.5,Normal-Flying,1,158,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png
Rattata,Normal,null,253,30,56,35,25,35,72,42.16666667,Normal,1.6,1128,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png
Alolan  Rattata,Dark,Normal,253,30,56,35,25,35,72,42.16666667,Dark-Normal,1.6,1128,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png
Raticate,Normal,null,413,55,81,60,50,70,97,68.83333333,Normal,1.35,726,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png
Alolan  Raticate,Dark,Normal,413,75,71,70,40,80,77,68.83333333,Dark-Normal,1.014285714,726,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png
Spearow,Normal,Flying,262,40,60,30,31,31,70,43.66666667,Normal-Flying,2,1117,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png
Fearow,Normal,Flying,442,65,90,65,61,61,100,73.66666667,Normal-Flying,1.384615385,651,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png
Ekans,Poison,null,288,35,60,44,40,54,55,48,Poison,1.363636364,1065,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png
Arbok,Poison,null,448,60,95,69,65,79,80,74.66666667,Poison,1.376811594,647,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png
Pikachu,Electric,null,320,35,55,40,50,50,90,53.33333333,Electric,1.375,926,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png
Partner  Pikachu,Electric,null,430,45,80,50,75,60,120,71.66666667,Electric,1.6,673,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png
Raichu,Electric,null,485,60,90,55,90,80,110,80.83333333,Electric,1.636363636,479,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png
Alolan  Raichu,Electric,Psychic,485,60,85,50,95,85,110,80.83333333,Electric-Psychic,1.7,479,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png
Sandshrew,Ground,null,300,50,75,85,20,30,40,50,Ground,0.882352941,1012,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png
Alolan  Sandshrew,Ice,Steel,300,50,75,90,10,35,40,50,Ice-Steel,0.833333333,1012,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png
Sandslash,Ground,null,450,75,100,110,45,55,65,75,Ground,0.909090909,637,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png
Alolan  Sandslash,Ice,Steel,450,75,100,120,25,65,65,75,Ice-Steel,0.833333333,637,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png
Nidoran♀,Poison,null,275,55,47,52,40,40,41,45.83333333,Poison,0.903846154,1089,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png
Nidorina,Poison,null,365,70,62,67,55,55,56,60.83333333,Poison,0.925373134,823,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png
Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,84.16666667,Poison-Ground,1.057471264,347,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png
Nidoran♂,Poison,null,273,46,57,40,40,40,50,45.5,Poison,1.425,1096,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png
Nidorino,Poison,null,365,61,72,57,55,55,65,60.83333333,Poison,1.263157895,823,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png
Nidoking,Poison,Ground,505,81,102,77,85,75,85,84.16666667,Poison-Ground,1.324675325,347,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png
Clefairy,Fairy,null,323,70,45,48,60,65,35,53.83333333,Fairy,0.9375,924,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png
Clefable,Fairy,null,483,95,70,73,95,90,60,80.5,Fairy,0.95890411,503,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png
Vulpix,Fire,null,299,38,41,40,50,65,65,49.83333333,Fire,1.025,1039,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png
Alolan  Vulpix,Ice,null,299,38,41,40,50,65,65,49.83333333,Ice,1.025,1039,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png
Ninetales,Fire,null,505,73,76,75,81,100,100,84.16666667,Fire,1.013333333,347,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png
Alolan  Ninetales,Ice,Fairy,505,73,67,75,81,100,109,84.16666667,Ice-Fairy,0.893333333,347,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png
Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,45,Normal-Fairy,2.25,1098,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png
Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,72.5,Normal-Fairy,1.555555556,666,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png
Zubat,Poison,Flying,245,40,45,35,30,40,55,40.83333333,Poison-Flying,1.285714286,1141,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png
Golbat,Poison,Flying,455,75,80,70,65,75,90,75.83333333,Poison-Flying,1.142857143,618,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png
Oddish,Grass,Poison,320,45,50,55,75,65,30,53.33333333,Grass-Poison,0.909090909,926,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png
Gloom,Grass,Poison,395,60,65,70,85,75,40,65.83333333,Grass-Poison,0.928571429,785,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png
Vileplume,Grass,Poison,490,75,80,85,110,90,50,81.66666667,Grass-Poison,0.941176471,434,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png
Paras,Bug,Grass,285,35,70,55,45,55,25,47.5,Bug-Grass,1.272727273,1069,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png
Parasect,Bug,Grass,405,60,95,80,60,80,30,67.5,Bug-Grass,1.1875,750,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png
Venonat,Bug,Poison,305,60,55,50,40,55,45,50.83333333,Bug-Poison,1.1,988,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png
Venomoth,Bug,Poison,450,70,65,60,90,75,90,75,Bug-Poison,1.083333333,637,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png
Diglett,Ground,null,265,10,55,25,35,45,95,44.16666667,Ground,2.2,1109,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png
Alolan  Diglett,Ground,Steel,265,10,55,30,35,45,90,44.16666667,Ground-Steel,1.833333333,1109,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png
Dugtrio,Ground,null,425,35,100,50,50,70,120,70.83333333,Ground,2,684,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png
